time/s,Ewe/V,<I>/mA
8035.012381642591,1.9979216,-10.98938752099068
8050.012382355053,1.9963859,-10.98931501720486
8065.012383067515,1.994614,-10.98931395671907
8080.012383779977,1.9929209,-10.98943481229906
8095.012384492438,1.9911884,-10.98934312084122
8110.0123852049,1.9895347,-10.98941853066328
8125.012385917362,1.9880384,-10.98925852878896
8140.012386629824,1.9864634,-10.98943139941674
8155.012387342285,1.9848098,-10.98947580223649
8170.012388054747,1.983156,-10.98930371985228
8185.012388767209,1.9813447,-10.98935362778855
8200.01238947967,1.9796516,-10.9893381307088
8215.012390192132,1.9779979,-10.98923698045523
8230.012390904594,1.976226,-10.98924171665597
8245.012391617056,1.9744542,-10.98918102876721
8260.012392329518,1.9724854,-10.98926063144999
8275.01239304198,1.9705954,-10.98937570560224
8290.012393754441,1.9687448,-10.9892616787115
8305.012394466903,1.9669335,-10.98938936043761
8320.012395179365,1.9651617,-10.98930923272536
8335.012395891827,1.9631536,-10.98942877159907
8350.012396604288,1.9612635,-10.98915685960942
8365.01239731675,1.9594129,-10.98941300876209
8380.012398029212,1.9574442,-10.98942771238485
8395.012398741674,1.9556724,-10.98940564766828
8410.012399454135,1.9539398,-10.98951020940546
8425.012400166597,1.9520105,-10.98957117271535
8440.012400879059,1.9500811,-10.98957824974139
8455.01240159152,1.9481124,-10.98952860501922
8470.012402303983,1.9462224,-10.98953884951539
8485.012403016444,1.9443717,-10.98946791471448
8500.012403728906,1.9423243,-10.98929162688106
8515.012404441368,1.9405918,-10.98951572711048
8530.01240515383,1.9386624,-10.9891805011946
8545.012405866291,1.9367725,-10.98942377510883
8560.012406578753,1.9348431,-10.98946528994857
8575.012407291215,1.9329137,-10.98947317022265
8590.012408003677,1.9308662,-10.98943323276015
8605.012408716138,1.9289368,-10.98967178776693
8620.0124094286,1.9269681,-10.98962554282996
8635.012410141062,1.9250387,-10.98959428774518
8650.012410853524,1.92307,-10.98946029422127
8665.012411565986,1.9210619,-10.98946948509811
8680.012412278447,1.9190931,-10.98955277163387
8695.012412990909,1.9172031,-10.98946423658355
8710.01241370337,1.9152738,-10.98944059906738
8725.012414415833,1.9134232,-10.98941537196693
8740.012415128294,1.9114544,-10.98922621067526
8755.012415840756,1.9095644,-10.98930870451697
8770.012416553218,1.9074382,-10.9893197446318
8785.01241726568,1.9053906,-10.98923250708711
8800.012417978141,1.9035007,-10.98907121037745
8815.012418690603,1.9014138,-10.98921675543991
8830.012419403065,1.8993663,-10.9892304125641
8845.012420115527,1.8973188,-10.9892737594757
8860.012420827989,1.8952713,-10.98917393254054
8875.01242154045,1.8933814,-10.98905281222057
8890.012422252912,1.8914913,-10.98919126944869
8905.012422965374,1.8894044,-10.98918838045143
